INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (2, 'Vesna', 'Petrović', '1997-03-28', 'vesna.petrovic', '$2a$10$hGG14xySJbhkwmTaLj0ZJODan.PFQeYlBGDX8huwpYcOjJjE7NW0e', 'CLIENT', 'vesna.petrovic@mail.com', true, false, true, true);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (3, 'Ana', 'Dejanović', '2001-07-15', 'ana.dejanovic', '$2a$10$7Y5BdGoYudNK.UcDii8EL.Ej4X8j0VUJDrWD/MLNVKvk/xiqA8ZNy', 'CLIENT', 'ana.dejanovic@mail.com', false, true, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (4, 'Stefan', 'Maksimović', '1994-11-05', 'stefan.maksimovic', '$2a$10$RGoG3TZF/tusYhMGxEEGIO5PPtHzjTnJRVoafQNtQ4geBDZpbYhau', 'CLIENT', 'stefan.maksimovic@mail.com', true, false, true, true);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (5, 'Tatjana', 'Jović', '1985-09-27', 'tatjana.jovic', '$2a$10$uJL3bZTvdK.doQgc78pg2eppnjBrUoNBGdCxzzWTqXKaqP8qT96.y', 'CLIENT', 'tatjana.jovic@mail.com', false, true, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (6, 'Dragan', 'Radić', '1984-10-19', 'dragan.radic', '$2a$10$pzA2zpEQwhMKtZwfg5wIburNPmksS1UvPDofOMqWJKWgo6dVckeKu', 'CLIENT', 'dragan.radic@mail.com', false, false, true, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (7, 'Gorana', 'Nedeljković', '1991-05-17', 'gorana.nedeljkovic', '$2a$10$vzRD3x2leOshibPSfM51R.gBKDGHNct8KcArHUgm1qc9ZywBOLi3C', 'CLIENT', 'gorana.nedeljkovic@mail.com', false, true, false, true);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (8, 'Simo', 'Mitrović', '1989-09-15', 'simo.mitrovic', '$2a$10$nfTQMg8qW/u0MAm9kTZ9DeQvzi7NEyN9g0mhRSguFhCM2NZ6f0MMq', 'CLIENT', 'simo.mitrovic@mail.com', false, false, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (9, 'Slađana', 'Martinović', '1986-06-26', 'slađana.martinovic', '$2a$10$NT.rHZ4OVXWp9PMxFaN7y./OOtLOJaLXooJ/OjtVOXjWVgry/g.ui', 'CLIENT', 'slađana.martinovic@mail.com', false, false, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (10, 'Pero', 'Mirić', '1983-02-06', 'pero.miric', '$2a$10$683V5RJXo2sbcs4b7VI1TuTPRImw1L5j3MkcEZKq6fCBPrhFuh7DG', 'CLIENT', 'pero.miric@mail.com', false, false, true, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (11, 'Manja', 'Mitrović', '1980-01-18', 'manja.mitrovic', '$2a$10$OQpgxOV0TTjeXeNwsAI21ORRdDRgQRY2SxuXBJGMf2jt368Qbqh0m', 'CLIENT', 'manja.mitrovic@mail.com', true, false, false, true);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (12, 'Simo', 'Ratković', '2005-04-01', 'simo.ratkovic', '$2a$10$3CZK8K7LkZcGx.vQICObIuq9nxBwizsfhbWj4byk0ptQPXL/Op7Nm', 'CLIENT', 'simo.ratkovic@mail.com', false, false, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (13, 'Kristijan', 'Mihajlović', '2001-07-26', 'kristijan.mihajlovic', '$2a$10$cg9YlZpTH53xr/h7vfwfceCzfKV01h8.OMRYAZ8yu2aUjXKV3MkVO', 'CLIENT', 'kristijan.mihajlovic@mail.com', true, true, true, true);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (14, 'Ratko', 'Jovanović', '2004-01-10', 'ratko.jovanovic', '$2a$10$LiIQOSX/eoqcH6kjwcpj3.AwGDrSLpCBqqPt74iBZsLO3hK8Df3aW', 'CLIENT', 'ratko.jovanovic@mail.com', false, false, false, false);
INSERT IGNORE INTO user (id, name, surname, birth_date, username, password, role, email, is_activated, is_new_diary_available, is_new_questionnaire_available, is_profile_confirmed) VALUES (15, 'Mihajlo', 'Mihajlović', '1983-12-10', 'mihajlo.mihajlovic', '$2a$10$sHZ.Nn4ttEiyy6ksc4z6m.8O7GEBPnPKlZEsV9F4Qjpx/UrBb.88q', 'CLIENT', 'mihajlo.mihajlovic@mail.com', false, true, true, false);
